#Id,DestinationId,RatesTag,RoundingMethod,RoundingDecimals,MaxCost,MaxCostStrategy
DR_FS_FIXO,Fixo,RT_FIXO_Debito,*up,4,1000,0
DR_FS_MOVEL,Movel,RT_MOVEL_Debito,*up,4,1000,0
