#Direction,Tenant,Category,Subject,ActivationTime,RatingPlanId,RatesFallbackSubject,CdrStatQueueIds
*out,cgrates.org,call,*any,2017-03-02T00:00:00Z,FIXO_Debito,,
*out,cgrates.org,call,*any,2017-03-02T00:00:00Z,MOVEL_Debito,,
