#Id,DestinationRatesId,TimingTag,Weight
FIXO_Debito,DR_FS_FIXO,PEAK,1000
MOVEL_Debito,DR_FS_MOVEL,PEAK,1000
#FIXO_Debito,DR_FS_FIXO_Debito,PEAK,1
#RP_RETAIL1,DR_FS_10CNT,OFFPEAK_MORNING,10
#RP_RETAIL1,DR_FS_10CNT,OFFPEAK_EVENING,10
#RP_RETAIL1,DR_FS_10CNT,OFFPEAK_WEEKEND,10
#RP_RETAIL2,DR_FS_FIXO_Debito,PEAK,10
#RP_RETAIL2,DR_FS_10CNT,OFFPEAK_MORNING,10
#RP_RETAIL2,DR_FS_10CNT,OFFPEAK_EVENING,10
#RP_RETAIL2,DR_FS_10CNT,OFFPEAK_WEEKEND,10
